,V1,V2,V3
Analysis,Sand 2000 -50 um,Silt 50 4.2 .-2 um,Clay 2 6.0 -0 um
Units,%,%,%
n,43,43,43
NA,12.5 3.5,40.0 4 0,46.8 4 2.6 .3
NA,31 .2 3.0,42.0 5.0,27.0
NA,26.6,46.0,28.0
NA,3.4,4.0,3.0
NA,36.7,34.9,28.0
NA,2.7,3. 1,3.6
NA,19.1 4.4,57.0,25.6
NA,,,
NA,,,
NA,,,
Analysis,Sand  2000 - 50 um,Silt50 - 2 um,Clay2 - 0 um
Units,%,%,%
n,40,41,41
Soil 2008-111_Median,35.0 3.80,47.0 3.74,19.0 3.00
Soil 2008-111_MAD,,,
Soil 2008-112_Median,28.9 6.10,53.0 5.00,19.9 3.89
Soil 2008-112_MAD,,,
Soil 2008-113_Median,24.0 3.75,56.0 4.80,21.0 2.60
Soil 2008-113_MAD,,,
Soil 2008-114_Median,67.2 4.18,24.0 2.60,8.4 1.58
Soil 2008-114_MAD,,,
Soil 2008-115_Median,86.0 3.44,9.6 1.63,6.0 1.85
Soil 2008-115_MAD,,,
Analysis,Sand 2000 - 50 um %,Silt 50 - 2 um %,Clay 2 - Oum %
Units,,,
n,42,41,41
Soil 2004-106_Median,19.4,55.0,26.7
Soil 2004-106_MAD,4.4 61 .8,3.0 19.0,2.7 19.0
Soil 2004-107_Median,,,
Soil 2004-107_MAD,2.5,2.0,3.0
Soil 2004-108_Median,29.0,45.2,26.0
Soil 2004-108_MAD,3.4,2. 7,2.0
Soil 2004-109_Median,,,
Soil 2004-109_MAD,30.0 3.5,60.0 3.6,9.0 3.4
Soil 2004-110_Median,,,
Soil 2004-110_MAD,84.2 2.8,9.0 1.3,7.0 1.9
NA,,,
Analysis,Sand 2000 - 50 um %,Silt 50 - 2 um %,Clay 2- 0 um %
Units,,,
n,45,45,45
Soil 2004-116_Median,26.6,46.0,27.5
Soil 2004-116_MAD,4.2,3.5,2.5
Soil 2004-117_Median,19.9,60.0,18.8
Soil 2004-117_MAD,4.1,5.0,3.3
Soil 2004-1 18_Median,35.0,55.0,10.0
Soil 2004-1 18_MAD,3.0,3.9,2.0
Soil 2004-119_Median,,,
Soil 2004-119_MAD,55.8,36.0,8.2
Soil 2004-120_Median,3.8,3.2,2.2
Soil 2004-120_MAD,,,
NA,18.0,56.0,26.0
NA,4.0,5.0,2.7
NA,,,
Analysis,Sand 2000 - 50 um %,Silt 50 - 2 um %,Clay 2 - Oum %
Units,50,50,50
n,16.0,57.5,25.0
Soil 2005-101_Median,6.0,6.4,4.4
Soil 2005-101_MAD,5.1,g;a,) 5.0
Soil 2005-103_Median,5. 1,3.7 .,3.0
Soil 2005-103_MAD,56.0,30.2,14.1
Soil 2005-104_Median,3.1,1.4 ~ 1,2.1
Soil 2005-104_MAD,,,
Soil 2005-105_Median,94.6,2.4,2.1
Soil 2005-105_MAD,2.4,,0.9
NA,,,
NA,65.0,26.0,9.3
NA,4,0,2.9,1.7
Analysis,Sand 2000 - 50 um %,Silt 50 - 2 um %,Clay 2 - 0 um %
Units,,,
n,54,54,53
Soil 2005-106_Median,65.0 3.0,27.0 3.0,9.0 2.0
Soil 2005-106_MAD,63.6 3.1,15.5 2.5,21 .6 2.3
Soil 2005-107_Median,29.9,47.8,22.0
Soil 2005-107_MAD,6.0,4.9,4.0
Soil 2005-108_Median,,,
Soil 2005-108_MAD,45.0 3.0,33.0 4. 1,22.5 4.5
Soil 2005-109_Median,,,
Soil 2005-109_MAD,22.0 5.8,61.2 6.9,16.0 5.4
Soil 2005-110_Median,,,
Analysis,Sand 2000 - 50 um %,Silt 50- 2 um %,Clay 2 - 0 um %
Units,,,
n,52,52,52
Soil 2005-111_Median,65.0,26.0,9.0
Soil 2005-111_MAD,2.3,2.0,1.6
Soil 2005-112_Median,,,
Soil 2005-112_MAD,36.6 3.4,40.0 3.1,23.0 3.0
Soil 2005-113_Median,70.0,23.0,7.0
Soil 2005-113_MAD,3.8,2.5,2.0
Soil 2005-115_Median,,,
Soil 2005-115_MAD,70.0,16.3,14.0
NA,2.0,2.3,2.0
NA,,,
NA,21 .8,60.0,19.1
NA,3.6,4.2,3.3
NA,,,
Analysis,Sand 2000 - 50 um %,Silt 50 - 2 um %,Clay 2 - 0 um %
Units,,,
n,47,48,48
Soil 2005-116_Median,67.5,22.3,8.9
Soil 2005-116_MAD,2.5,3.8,2.0
Soil 2005-1 17_Median,47.8,35.5,17.4
Soil 2005-1 17_MAD,3.0,4.6,2.6
Soil 2005-118_Median,14.4,55.0,30.2
Soil 2005-118_MAD,4. 5,5.6,3.4
Soil 2005-119_Median,,,
Soil 2005-119_MAD,31.9,52.0,16.0
Soil 2005-120_Median,3.6,3.1,3.0
Soil 2005-120_MAD,,,
NA,62.7,27.0,9.1
NA,3.3,3.0,1.7
NA,,,
Analysis,Sand  2000 - 50 um,Silt50 - 2 um,Clay2 - 0 um
Units,%,%,%
n,45,45,45
Soil 2006-101_Median,22.0 4.6,55.2 4.2,22.5 1.5
Soil 2006-101_MAD,56.0 3.0,31.0 3.8,12.0 3.0
Soil 2006-102_Median,33.6 3.2,34.2 3.8,32.0 3.0
Soil 2006-102_MAD,48.0 3.0,35.0 2.8,17.5 1.5
Soil 2006-103_Median,18.0 4.0,54.0 4.0,25.0 2.5
Analysis,Sand  2000 - 50 um,Silt50 - 2 um,Clay2 - 0 um
Units,%,%,%
n,46,46,46
Soil 2006-106_Median,18.0 3.5,55.4 4.6,25.0 2.0
Soil 2006-106_MAD,20.0 3.8,65.0 5.0,15.0 3.0
Soil 2006-107_Median,,,
Soil 2006-107_MAD,32.8 3.2,33.5 3.5,32.8 2.8
Soil 2006-108_Median,,,
Soil 2006-108_MAD,31.2 4.2,54.0 4.0,14.9 2.4
Soil 2006-109_Median,47.2 3.8,35.0 3.0,17.5 2.5
Soil 2006-109_MAD,,,
Analysis,Sand  2000 - 50 um,Silt50 - 2 um,Clay2 - 0 um
Units,%,%,%
n,45,45,43
Soil 2006-111_Median,94.0 3.00,3.0 1.80,2.0 1.37
Soil 2006-111_MAD,18.0 4.00,54.0 5.00,25.0 3.00
Soil 2006-112_Median,,,
Soil 2006-112_MAD,55.4 3.15,38.0 3.60,6.0 1.50
Soil 2006-113_Median,,,
Soil 2006-113_MAD,48.9 2.90,35.0 2.61,15.9 2.30
Soil 2006-114_Median,24.0 4.00,53.0 5.00,23.0 3.92
Soil 2006-114_MAD,,,
Analysis,Sand  2000 - 50 um,Silt50 - 2 um,Clay2 - 0 um
Units,%,%,%
n,45,45,43
Soil 2006-111_Median,94.0 3.00,3.0 1.80,2.0 1.37
Soil 2006-111_MAD,18.0 4.00,54.0 5.00,25.0 3.00
Soil 2006-112_Median,,,
Soil 2006-112_MAD,55.4 3.15,38.0 3.60,6.0 1.50
Soil 2006-113_Median,,,
Soil 2006-113_MAD,48.9 2.90,35.0 2.61,15.9 2.30
Soil 2006-114_Median,24.0 4.00,53.0 5.00,23.0 3.92
Soil 2006-114_MAD,,,
Analysis,Sand  2000 - 50 um,Silt50 - 2 um,Clay2 - 0 um
Units,%,%,%
n,38,38,38
Soil 2008-116_Median,61.5 3.50,26.6 3.51,12.0 2.00
Soil 2008-116_MAD,,,
Soil 2008-117_Median,38.8 2.50,39.6 2.45,22.0 2.00
Soil 2008-117_MAD,,,
Soil 2008-118_Median,45.5 4.50,38.5 2.95,16.5 3.50
Soil 2008-118_MAD,,,
Soil 2008-119_Median,26.9 2.86,54.0 3.43,19.6 2.70
Soil 2008-119_MAD,,,
Soil 2008-120_Median,22.9 3.44,56.0 4.75,21.0 3.00
Soil 2008-120_MAD,,,
